Title,Company-Name,salary_package,Timings,skills,Min_Experience,Max_Experience,Locations
Software Developer,INDEX INFOTECH INDIA,N/A,N/A,SQL,4.0,5.0,Pune
Software Developer,PRADEEPIT CONSULTING SERVICES,N/A,N/A,N/A,3.0,9.0,Bengaluru
Software Developer,INTERFACE INFOSOFT,N/A,N/A,N/A,7.0,12.0,All Metro City
Software Developer,LEADING IT CONSULTING MNC,N/A,N/A,N/A,6.0,9.0,Delhi
Software Developer,FOREIGN IT CONSULTING MNC,N/A,N/A,N/A,5.0,10.0,All Metro City
Software Developer,FOREIGN IT CONSULTING MNC,N/A,N/A,N/A,3.0,8.0,Bengaluru
Software Developer,TOP RATED IT ENTERPRISE,N/A,N/A,N/A,6.0,10.0,All Metro City
Software Developer,FOREIGN IT CONSULTING MNC,N/A,N/A,N/A,4.0,9.0,All Metro City
Software Developer,MICROCOSMWORKS LLP,N/A,N/A,N/A,0.0,2.0,Mumbai
Software Developer,THRIVE INFO TECH,N/A,N/A,N/A,,,Ahmedabad
Software Developer,SIEMENS,N/A,N/A,N/A,0.0,5.0,Phagwara
Software Developer,AVEVA,N/A,N/A,Problem Solving,0.0,1.0,Remote
Software Developer,MATICA TECHNOLOGIES AG,N/A,N/A,N/A,0.0,8.0,Bengaluru
Software Developer,TECKNOTROVE,1.75-2.25 Lacs PA,N/A,N/A,3.0,8.0,All Metro City
Software Developer,IBM,N/A,N/A,N/A,0.0,2.0,All Metro City
Software Developer,LPU,3-8 Lacs PA,N/A,N/A,0.0,5.0,All Metro City
Software Developer,OLOID,N/A,N/A,Computer,0.0,1.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,"Node, Web APIs",0.0,7.0,All Metro City
Software Developer,HYRES INDIA,N/A,N/A,N/A,0.0,0.0,Bengaluru
Software Developer,NEXPRO247,N/A,N/A,N/A,0.0,5.0,Bengaluru
Software Developer,FOREIGN IT CONSULTING MNC,N/A,N/A,N/A,4.0,9.0,All Metro City
Software Developer,TOP RATED IT ENTERPRISE,N/A,N/A,N/A,6.0,10.0,All Metro City
Software Developer,OXYZEN HOMES,N/A,N/A,.Net,0.0,1.0,All Metro City
Software Developer,SIEMENS,N/A,N/A,AGILE,1.0,4.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,"JavaScript, HTML, cloud",0.0,6.0,Pune
Software Developer,SHREECOM INFO TECH,N/A,N/A,N/A,0.0,3.0,Pune
Software Developer,WEBILESK INFOTECH,N/A,N/A,N/A,0.0,1.0,Chennai
Software Developer,SIEMENS,N/A,N/A,N/A,0.0,2.0,Pune
Software Developer,SIEMENS,N/A,N/A,N/A,0.0,4.0,Pune
Software Developer,SIEMENS,N/A,N/A,N/A,0.0,4.0,Pune
Software Developer,ENGINEERING SERVICES INTERNATIONAL,2-3.25 Lacs PA,N/A,Computer,0.0,3.0,Ahmedabad
Software Developer,IBM,N/A,N/A,"DevOps, Docker, Kubernetes",2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,"DevOps, Docker, Kubernetes",3.0,8.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,5.0,9.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,10.0,12.0,Bengaluru
Software Developer,IDZ DIGITAL,1.25-2.25 Lacs PA,N/A,N/A,0.0,1.0,Mumbai
Software Developer,IBM,N/A,N/A,N/A,3.0,8.0,Bengaluru
Software Developer,CONCENTRIX,N/A,N/A,C++,5.0,8.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,6.0,8.0,Bengaluru
Software Developer,PRODUCT+SERVICE BASED COMPANY,N/A,N/A,Computer,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,Kubernetes,3.0,8.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,Kubernetes,2.0,5.0,Bengaluru
Software Developer,TRIGENT SOFTWARE,N/A,N/A,"Java, Springboot",5.0,10.0,Remote
Software Developer,SIEMENS,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,AVEVA,N/A,N/A,N/A,0.0,1.0,All Metro City
Software Developer,UBIX SYSTEMS MARKETING,2-7 Lacs PA,N/A,N/A,0.0,3.0,Remote
Software Developer,ARCTIC WOLF NETWORKS,N/A,N/A,N/A,0.0,2.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,1.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,6.0,11.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,2.0,5.0,All Metro City
Software Developer,SIEMENS,N/A,N/A,N/A,3.0,5.0,Bengaluru
Software Developer,INFOSYS,N/A,N/A,N/A,3.0,8.0,All Metro City
Software Developer,ADECCO,10-20 Lacs PA,N/A,Python,3.0,8.0,Remote
Software Developer,TEKSYSTEMS,N/A,N/A,"SQL, .NET",6.0,11.0,All Metro City
Software Developer,"WOOD GROUP PRATT & WHITNEY INDUSTRIAL TURBINE SERVICES, LLC",N/A,N/A,N/A,5.0,7.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,Computer,1.0,3.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,4.0,6.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,1.0,5.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,4.0,6.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,communication,3.0,5.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,Computer,10.0,12.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,3.0,5.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,"management, C#",3.0,5.0,Bengaluru
Software Developer,SIEMENS,N/A,N/A,N/A,2.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,4.0,9.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,3.0,5.0,Bengaluru
Software Developer,IBM,N/A,N/A,N/A,5.0,7.0,Bengaluru
